https://refractiveindex.info/?shelf=organic&book=acetonitrile&page=Kozma,,,https://refractiveindex.info/?shelf=organic&book=acetonitrile&page=Moutzouris,,,
"Wavelength, µm",n,k,,,,
0.23,1.402423003,,0.45,1.346862416,,Average(370-640)
0.2341,1.399364146,,0.461,1.346022889,,1.346625958
0.2382,1.396534797,,0.472,1.34526488,,
0.2423,1.393910547,,0.483,1.344578446,,
0.2464,1.391470204,,0.494,1.343955069,,
0.2505,1.389195304,,0.5051,1.343382498,,
0.2546,1.38706971,,0.5161,1.342864683,,
0.2587,1.385079268,,0.5271,1.342390749,,
0.2629,1.383167407,,0.5381,1.341955943,,
0.267,1.381413967,,0.5491,1.341556117,,
0.2711,1.37976228,,0.5601,1.341187646,,
0.2752,1.378203727,,0.5711,1.340847349,,
0.2793,1.376730636,,0.5821,1.340532427,,
0.2834,1.375336152,,0.5931,1.340240412,,
0.2875,1.374014139,,0.6041,1.339969121,,
0.2916,1.372759084,,0.6152,1.339714405,,
0.2957,1.371566026,,0.6262,1.339479118,,
0.2998,1.370430487,,0.6372,1.339259354,,
0.3039,1.369348415,,0.6482,1.339053745,,
0.308,1.368316135,,0.6592,1.338861068,,
0.3121,1.367330309,,0.6702,1.338680224,,
0.3162,1.366387894,,0.6812,1.338510228,,
0.3204,1.365464603,,0.6922,1.338350192,,
0.3245,1.364601813,,0.7032,1.338199314,,
0.3286,1.363774732,,0.7142,1.338056871,,
0.3327,1.362981225,,0.7253,1.337921016,,
0.3368,1.362219328,,0.7363,1.337793598,,
0.3409,1.361487229,,0.7473,1.337672819,,
0.345,1.360783258,,0.7583,1.337558188,,
0.3491,1.360105866,,0.7693,1.337449256,,
0.3532,1.35945362,,0.7803,1.337345615,,
0.3573,1.358825189,,0.7913,1.33724689,,
0.3614,1.358219338,,0.8023,1.33715274,,
0.3655,1.357634916,,0.8133,1.337062851,,
0.3696,1.357070849,,0.8243,1.336976934,,
0.3737,1.356526137,,0.8354,1.336893992,,
0.3779,1.355987231,,0.8464,1.336815276,,
0.382,1.355478899,,0.8574,1.336739796,,
0.3861,1.35498727,,0.8684,1.336667345,,
0.3902,1.354511577,,0.8794,1.336597731,,
0.3943,1.354051098,,0.8904,1.336530778,,
0.3984,1.353605154,,0.9014,1.336466321,,
0.4025,1.353173106,,0.9124,1.336404207,,
0.4066,1.352754354,,0.9234,1.336344295,,
0.4107,1.35234833,,0.9344,1.336286455,,
0.4148,1.351954499,,0.9455,1.336230065,,
0.4189,1.351572355,,0.9565,1.336176025,,
0.423,1.351201419,,0.9675,1.336123714,,
0.4271,1.350841239,,0.9785,1.336073033,,
0.4312,1.350491386,,0.9895,1.33602389,,
0.4354,1.350143283,,1.001,1.335974064,,
0.4395,1.349813113,,1.012,1.335927804,,
0.4436,1.349492103,,1.023,1.335882836,,
0.4477,1.349179906,,1.034,1.335839089,,
0.4518,1.348876191,,1.045,1.335796499,,
0.4559,1.348580644,,1.056,1.335755002,,
0.46,1.348292966,,1.067,1.335714541,,
0.4641,1.348012872,,1.078,1.335675061,,
0.4682,1.34774009,,1.089,1.33563651,,
0.4723,1.34747436,,1.1,1.33559884,,
0.4764,1.347215437,,1.111,1.335562005,,
0.4805,1.346963082,,1.122,1.335525962,,
0.4846,1.346717072,,1.133,1.335490671,,
0.4887,1.34647719,,1.144,1.335456094,,
0.4928,1.346243229,,1.155,1.335422193,,
0.497,1.346009497,,1.166,1.335388936,,
0.5011,1.345786929,,1.177,1.335356289,,
0.5052,1.345569712,,1.188,1.335324223,,
0.5093,1.345357672,,1.199,1.335292707,,
0.5134,1.345150643,,1.21,1.335261716,,
0.5175,1.344948465,,1.221,1.335231221,,
0.5216,1.344750986,,1.232,1.3352012,,
0.5257,1.344558059,,1.243,1.335171629,,
0.5298,1.344369544,,1.254,1.335142484,,
0.5339,1.344185304,,1.265,1.335113746,,
0.538,1.34400521,,1.276,1.335085394,,
0.5421,1.343829137,,1.287,1.335057409,,
0.5462,1.343656964,,1.298,1.335029773,,
0.5503,1.343488576,,1.309,1.335002469,,
0.5545,1.343319888,,1.32,1.334975479,,
0.5586,1.343158825,,1.331,1.334948789,,
0.5627,1.343001223,,1.342,1.334922384,,
0.5668,1.342846981,,1.353,1.334896248,,
0.5709,1.342696005,,1.364,1.334870369,,
0.575,1.342548201,,1.375,1.334844733,,
0.5791,1.342403481,,1.386,1.334819329,,
0.5832,1.342261759,,1.397,1.334794144,,
0.5873,1.342122952,,1.408,1.334769166,,
0.5914,1.34198698,,1.419,1.334744386,,
0.5955,1.341853766,,1.43,1.334719792,,
0.5996,1.341723235,,1.441,1.334695375,,
0.6037,1.341595316,,1.452,1.334671125,,
0.6078,1.341469937,,1.463,1.334647033,,
0.612,1.341344066,,1.474,1.334623091,,
0.6161,1.341223629,,1.485,1.334599289,,
0.6202,1.341105538,,1.496,1.334575621,,
0.6243,1.34098973,,1.507,1.334552078,,
0.6284,1.340876147,,1.518,1.334528652,,
0.6325,1.340764733,,1.529,1.334505338,,
0.6366,1.340655431,,1.54,1.334482128,,
0.6407,1.34054819,,1.551,1.334459015,,
